,PopulationChange,YearlyChange,NetChange,Density(P/Km?),Land Area(Km?),Migrants(net),Fert.Rate,Med.Age,UrbanPop %,WorldShare
Mali,20250833.00 ,0.030200000 ,592802.00 ,17.00 ,1220190.00 ,-40000.00 ,5.90 ,16.00 ,0.44 ,0.00 
Romania,19237691.00 ,-0.006600000 ,-126866.00 ,84.00 ,230170.00 ,-73999.00 ,1.60 ,43.00 ,0.55 ,0.00 
Malawi,19129952.00 ,0.026900000 ,501205.00 ,203.00 ,94280.00 ,-16053.00 ,4.30 ,18.00 ,0.18 ,0.00 
Chile,19116201.00 ,0.008700000 ,164163.00 ,26.00 ,743532.00 ,111708.00 ,1.70 ,35.00 ,0.85 ,0.00 
Kazakhstan,18776707.00 ,0.012100000 ,225280.00 ,7.00 ,2699700.00 ,-18000.00 ,2.80 ,31.00 ,0.58 ,0.00 
Zambia,18383955.00 ,0.029300000 ,522925.00 ,25.00 ,743390.00 ,-8000.00 ,4.70 ,18.00 ,0.45 ,0.00 
Guatemala,17915568.00 ,0.019000000 ,334096.00 ,167.00 ,107160.00 ,-9215.00 ,2.90 ,23.00 ,0.52 ,0.00 
Ecuador,17643054.00 ,0.015500000 ,269392.00 ,71.00 ,248360.00 ,36400.00 ,2.40 ,28.00 ,0.63 ,0.00 
Syria,17500658.00 ,0.025200000 ,430523.00 ,95.00 ,183630.00 ,-427391.00 ,2.80 ,26.00 ,0.60 ,0.00 
Netherlands,17134872.00 ,0.002200000 ,37742.00 ,508.00 ,33720.00 ,16000.00 ,1.70 ,43.00 ,0.92 ,0.00 
Senegal,16743927.00 ,0.027500000 ,447563.00 ,87.00 ,192530.00 ,-20000.00 ,4.70 ,19.00 ,0.49 ,0.00 
Cambodia,16718965.00 ,0.014100000 ,232423.00 ,95.00 ,176520.00 ,-30000.00 ,2.50 ,26.00 ,0.24 ,0.00 
Chad,16425864.00 ,0.030000000 ,478988.00 ,13.00 ,1259200.00 ,2000.00 ,5.80 ,17.00 ,0.23 ,0.00 
Somalia,15893222.00 ,0.029200000 ,450317.00 ,25.00 ,627340.00 ,-40000.00 ,6.10 ,17.00 ,0.47 ,0.00 
Zimbabwe,14862924.00 ,0.014800000 ,217456.00 ,38.00 ,386850.00 ,-116858.00 ,3.60 ,19.00 ,0.38 ,0.00 
Guinea,13132795.00 ,0.028300000 ,361549.00 ,53.00 ,245720.00 ,-4000.00 ,4.70 ,18.00 ,0.39 ,0.00 
Rwanda,12952218.00 ,0.025800000 ,325268.00 ,525.00 ,24670.00 ,-9000.00 ,4.10 ,20.00 ,0.18 ,0.00 
Benin,12123200.00 ,0.027300000 ,322049.00 ,108.00 ,112760.00 ,-2000.00 ,4.90 ,19.00 ,0.48 ,0.00 
Burundi,11890784.00 ,0.031200000 ,360204.00 ,463.00 ,25680.00 ,2001.00 ,5.50 ,17.00 ,0.14 ,0.00 
Tunisia,11818619.00 ,0.010600000 ,123900.00 ,76.00 ,155360.00 ,-4000.00 ,2.20 ,33.00 ,0.70 ,0.00 
Bolivia,11673021.00 ,0.013900000 ,159921.00 ,11.00 ,1083300.00 ,-9504.00 ,2.80 ,26.00 ,0.69 ,0.00 
Belgium,11589623.00 ,0.004400000 ,50295.00 ,383.00 ,30280.00 ,48000.00 ,1.70 ,42.00 ,0.98 ,0.00 
Haiti,11402528.00 ,0.012400000 ,139451.00 ,414.00 ,27560.00 ,-35000.00 ,3.00 ,24.00 ,0.57 ,0.00 
Cuba,11326616.00 ,-0.000600000 ,-6867.00 ,106.00 ,106440.00 ,-14400.00 ,1.60 ,42.00 ,0.78 ,0.00 
South Sudan,11193725.00 ,0.011900000 ,131612.00 ,18.00 ,610952.00 ,-174200.00 ,4.70 ,19.00 ,0.25 ,0.00 
Dominican Republic,10847910.00 ,0.010100000 ,108952.00 ,225.00 ,48320.00 ,-30000.00 ,2.40 ,28.00 ,0.85 ,0.00 
Czech Republic (Czechia),10708981.00 ,0.001800000 ,19772.00 ,139.00 ,77240.00 ,22011.00 ,1.60 ,43.00 ,0.74 ,0.00 
Greece,10423054.00 ,-0.004800000 ,-50401.00 ,81.00 ,128900.00 ,-16000.00 ,1.30 ,46.00 ,0.85 ,0.00 
